hf_A,hf_B,hf_Z,matched_column,matched_master_label,matched_master_depth,matched_master_path,score
collective-intentionality,"Joint or shared directedness of minds, as in shared intentions, joint attention, and collective beliefs. Questions concern whether collective intentionality reduces to individual intentionality plus mutual knowledge or requires irreducible 'we-intentions'. Applications include social ontology, institutional facts, and cooperative action.",https://plato.stanford.edu/entries/collective-intentionality/,A,Collective Intentionality,4,Philosophy of Mind > Intentionality > Aspects of Intentionality > Collective Intentionality,1.000
phenomenal-intentionality,"The view that intentionality is grounded in phenomenal consciousnessâ€”what it's like to have mental states. Phenomenal intentionality theorists argue all intentionality derives from conscious experience's intrinsic aboutness. This challenges functionalist and externalist accounts, offering internalist alternative addressing consciousness and content's relationship.",https://plato.stanford.edu/entries/phenomenal-intentionality/,A,Phenomenal Intentionality,4,Philosophy of Mind > Philosophy of Consciousness > Consciousness and Content > Phenomenal Intentionality,1.000
intuition,"Non-inferential seeming or intellectual appearance. Philosophical intuitions about cases (thought experiments) guide theory construction. Questions concern intuitions' nature (beliefs, dispositions, or sui generis), evidential status, and reliability. Experimental philosophy challenges reliance on intuitions by showing demographic variation.",https://plato.stanford.edu/entries/intuition/,A,Intuition,3,Epistemology > Epistemological Sources > Intuition,1.000
james,"William James (1842â€“1910) developed pragmatism and radical empiricism. His Principles of Psychology pioneered phenomenological psychology. James argued truth is what works, defended will to believe, and developed neutral monism. He profoundly influenced philosophy, psychology, and religious studies through anti-reductionist, pluralist approach.",https://plato.stanford.edu/entries/james/,A,James,4,History of Western Philosophy > 19th Century Philosophy > 19th Century American Philosophy > James,1.000
justice,"Moral and political concept concerning fairness, rights, and what is owed. Distributive justice addresses resource allocation; retributive justice concerns punishment; procedural justice involves fair processes. Major theories include utilitarianism, Rawls's fairness as justice, libertarianism, and communitarianism. Justice is called the first virtue of institutions.",https://plato.stanford.edu/entries/justice/,A,Justice,4,Value Theory > Applied Ethics > General Issues in Applied Ethics > Justice,1.000
kant,"Immanuel Kant (1724â€“1804) is central modern philosopher who synthesized rationalism and empiricism in critical philosophy. His Critique of Pure Reason analyzed knowledge's conditions; Critique of Practical Reason developed deontological ethics via categorical imperative. Kant profoundly influenced epistemology, ethics, aesthetics, and political philosophy.",https://plato.stanford.edu/entries/kant/,A,Kant,4,History of Western Philosophy > 17th/18th Century Philosophy > 17/18th Century German Philosophy > Kant,1.000
kierkegaard,"SÃ¸ren Kierkegaard (1813â€“1855) pioneered existentialism, emphasizing individual existence, choice, and authentic faith. His pseudonymous works explored aesthetic, ethical, and religious life stages. Kierkegaard critiqued Hegelian system-building and Christendom's complacency, advocating passionate inwardness and subjective truth, profoundly influencing 20th-century philosophy.",https://plato.stanford.edu/entries/kierkegaard/,A,Kierkegaard,4,History of Western Philosophy > 19th Century Philosophy > 19th Century German Philosophy > Kierkegaard,1.000
self-knowledge,"Knowledge of one's own mental states. Questions concern whether self-knowledge is privileged (authoritative, immediate, or infallible), how it's achieved (introspection, inference, or transparency), and its scope. Debates address whether all mental states are self-knowable and self-knowledge's relationship to self-constitution.",https://plato.stanford.edu/entries/self-knowledge/,A,Self-Knowledge,3,Philosophy of Mind > Epistemology of Mind > Self-Knowledge,1.000
knowledge-how,"Practical knowledge or know-how, as distinct from propositional knowledge (knowing-that) and acquaintance knowledge. Questions concern whether knowing how to Ï† reduces to knowing that p (intellectualism) or constitutes irreducible ability. Gilbert Ryle distinguished knowing-how from knowing-that; Stanley and Williamson defend intellectualism. Debates address skill, understanding, and procedural knowledge.",https://plato.stanford.edu/entries/knowledge-how/,A,Knowledge How,4,Epistemology > Knowledge > Varieties of Knowledge > Knowledge How,1.000
lacan,"Jacques Lacan (1901â€“1981) reinterpreted Freudian psychoanalysis through structuralism and post-structuralism. His concepts include mirror stage, symbolic/imaginary/real orders, and 'return to Freud' emphasizing unconscious structured like language. Lacan influenced continental philosophy, literary theory, and cultural studies despite controversial clinical methods.",https://plato.stanford.edu/entries/lacan/,A,Lacan,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Continental Philosophy > Lacan,1.000
natural-law-theories,Legal theories holding that law's authority derives from conformity to natural moral law. Aquinas and Finnis developed natural law jurisprudence connecting law to practical reason and common good. Natural lawyers argue unjust laws lack legal validity. Critics defend legal positivism separating law from morality.,https://plato.stanford.edu/entries/natural-law-theories/,A,Natural Law Theories,5,Value Theory > Normative Ethics > Deontological Moral Theories > Varieties of Deontological Moral Theories > Natural Law Theories,1.000
legal-rights,"Rights recognized and enforced by legal systems. Questions concern legal rights' relationship to moral rights, their analysis (interests, will, or Hohfeldian relations), and what entities can hold them. Debates address whether animals, corporations, or future generations have legal rights and whether rights conflict.",https://plato.stanford.edu/entries/legal-rights/,A,Legal Rights,4,Value Theory > Social and Political Philosophy > Rights > Legal Rights,1.000
leibniz,"G.W. Leibniz (1646â€“1716) was a universal genius contributing to metaphysics, logic, mathematics, and physics. He developed monadology, pre-established harmony, and principle of sufficient reason. Leibniz invented calculus, defended optimism, and developed characteristic universalis. His rationalism profoundly influenced subsequent philosophy.",https://plato.stanford.edu/entries/leibniz/,A,Leibniz,4,History of Western Philosophy > 17th/18th Century Philosophy > 17/18th Century German Philosophy > Leibniz,1.000
levinas,"Emmanuel Levinas (1906â€“1995) developed ethics as first philosophy, emphasizing responsibility to the Other. The face-to-face encounter reveals infinite ethical demand. Levinas critiqued Heidegger's ontology, prioritizing ethics over being. His phenomenology of alterity profoundly influenced Continental philosophy and ethics.",https://plato.stanford.edu/entries/levinas/,A,Levinas,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Continental Philosophy > Levinas,1.000
david-lewis,"David Lewis (1941â€“2001) developed modal realism (possible worlds are concrete), counterfactual semantics, and functionalism about mind. His contributions span metaphysics, language, and philosophy of mind. Lewis defended Humean supervenience, counterpart theory, and best-system account of laws, profoundly influencing analytic philosophy.",https://plato.stanford.edu/entries/david-lewis/,A,David Lewis,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Analytic Philosophy > David Lewis,1.000
liar-paradox,"Self-referential semantic paradox: ""This sentence is false."" If true, then false; if false, then true. Solutions include restricting truth predicates (Tarski's hierarchy), denying bivalence, or contextualism. Liar paradox challenges classical logic and semantic theories, revealing tensions between truth and self-reference.",https://plato.stanford.edu/entries/liar-paradox/,A,Liar Paradox,4,"Science, Logic, and Mathematics > Logic and Philosophy of Logic > Logical Paradoxes > Liar Paradox",1.000
liberalism,"Political philosophy emphasizing individual liberty, rights, and limited government. Classical liberalism prioritizes negative liberty and markets; new liberalism adds social justice and positive liberty. Questions concern liberty's proper conception, state legitimacy, and liberalism's universality. Rawls and Nozick represent contemporary liberal debates.",https://plato.stanford.edu/entries/liberalism/,A,Liberalism,4,Value Theory > Social and Political Philosophy > Political Views > Liberalism,1.000
locke,"John Locke (1632â€“1704) was a British empiricist whose Essay Concerning Human Understanding argued knowledge derives from experience. His political philosophy defended natural rights, consent, and limited government. Locke's Two Treatises influenced liberalism and American founding. He contributed to epistemology, metaphysics, and education.",https://plato.stanford.edu/entries/locke/,A,Locke,4,History of Western Philosophy > 17th/18th Century Philosophy > 17th/18th Century British Philosophy > Locke,1.000
logical-atomism,Russell's view that world consists of atomic facts (particulars instantiating properties/relations). Complex truths reduce to logical combinations of atomic truths. Reality's structure mirrors ideal language. This metaphysics influenced early analytic philosophy but faces questions about atoms' identity and incompleteness.,https://plato.stanford.edu/entries/logical-atomism/,A,Logical Atomism,3,Metaphysics > Global Metaphysical Theories > Logical Atomism,1.000
logical-constants,"Expressions (and, or, not, all, some) whose meanings determine logical consequence. Questions concern what distinguishes logical from non-logical constants. Criteria include formality, topic-neutrality, and permutation invariance. Debates address whether identity, modality, and quantifiers are genuinely logical.",https://plato.stanford.edu/entries/logical-constants/,A,Logical Constants,4,"Science, Logic, and Mathematics > Logic and Philosophy of Logic > Logical Expressions > Logical Constants",1.000
logical-form,"Structure of sentences determining validity independent of content. Logical form revealed through formalization in logical language. Questions concern whether natural language has logical form, whether form is unique, and relationship to truth-conditions. Debates involve deep versus surface structure.",https://plato.stanford.edu/entries/logical-form/,A,Logical Form,4,Philosophy of Language > Meaning > Semantic Phenomena > Logical Form,1.000
logical-pluralism,"View that multiple correct logics exist.  Classical, intuitionist, and relevant logics may each be correct for different domains or purposes. Monists deny pluralism, arguing at most one logic is correct. Questions concern what correctness means and whether disagreement indicates genuine rivalry.",https://plato.stanford.edu/entries/logical-pluralism/,A,Logical Pluralism,4,"Science, Logic, and Mathematics > Logic and Philosophy of Logic > Logics > Logical Pluralism",1.000
moral-luck,"When moral judgment depends on factors beyond agent's control. Williams and Nagel identified resultant, circumstantial, and constitutive luck. This challenges control condition on moral responsibility. Questions concern whether luck undermines responsibility or its appearance, and implications for moral practice.",https://plato.stanford.edu/entries/moral-luck/,A,Moral Luck,4,Value Theory > Normative Ethics > Moral Phenomena > Moral Luck,1.000
lyotard,"Jean-FranÃ§ois Lyotard (1924â€“1998) defined postmodernism as incredulity toward metanarratives. His Postmodern Condition analyzed knowledge's status under technology. Lyotard developed philosophy of differend (untranslatable disputes) and critiqued totalizing reason. His thought influenced postmodernism, aesthetics, and political philosophy.",https://plato.stanford.edu/entries/lyotard/,A,Lyotard,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Continental Philosophy > Lyotard,1.000
machiavelli,"NiccolÃ² Machiavelli (1469â€“1527) wrote The Prince and Discourses, analyzing political power realistically. He argued effective rule may require immoral means and emphasized virtÃ¹ (effective action) over virtue. Machiavelli's political realism influenced modern political thought, separating politics from ethics.",https://plato.stanford.edu/entries/machiavelli/,A,Machiavelli,4,History of Western Philosophy > Medieval and Renaissance Philosophy > 15th/16th Century > Machiavelli,1.000
malebranche,"Nicolas Malebranche (1638â€“1715) synthesized Augustinianism and Cartesianism, developing occasionalism and Vision in God. God alone causes; creatures are occasions. We see ideas in God's mind. Malebranche's theodicy and continuous creation influenced modern philosophy despite Locke's and Leibniz's critiques.",https://plato.stanford.edu/entries/malebranche/,A,Malebranche,4,History of Western Philosophy > 17th/18th Century Philosophy > 17th/18th Century French Philosophy > Malebranche,1.000
marx,"Karl Marx (1818â€“1883) analyzed capitalism, history, and alienation using historical materialism. He argued economic structures determine social consciousness. Marx critiqued capitalism's exploitation and predicted its overthrow by the proletariat. His concepts (surplus value, class struggle, commodity fetishism) fundamentally shaped modern politics and social theory.",https://plato.stanford.edu/entries/marx/,A,Marx,4,History of Western Philosophy > 19th Century Philosophy > 19th Century German Philosophy > Marx,1.000
physicalism,"Metaphysical thesis that everything is physical or supervenes on the physical. Physicalism rejects non-physical souls or vital forces. Debates concern defining 'physical' (Hempel's dilemma), qualia (knowledge argument), and mental causation. Types include reductive and non-reductive physicalism.",https://plato.stanford.edu/entries/physicalism/,A,Physicalism,3,Metaphysics > Global Metaphysical Theories > Physicalism,1.000
meaning,General theories of linguistic meaning. Truth-conditional semantics (Davidson) equates meaning with truth conditions. Verificationism ties meaning to verification. Use theories (Wittgenstein) focus on practice. Gricean accounts ground meaning in speaker intentions. Ideational theories view meanings as mental ideas.,https://plato.stanford.edu/entries/meaning/,A,Meaning,2,Philosophy of Language > Meaning,1.000
meaning-holism,View that the meaning of a linguistic expression depends on its relations to the entire language or belief system. Quine and Davidson defended holism. It challenges compositionality and translation. Critics argue holism makes communication and disagreement impossible (meaning instability).,https://plato.stanford.edu/entries/meaning-holism/,A,Meaning Holism,4,Philosophy of Language > Meaning > Aspects of Meaning > Meaning Holism,1.000
meinong,"Alexius Meinong (1853â€“1920) developed the Theory of Objects (Gegenstandstheorie), categorizing everything that can be thought, including non-existent and impossible objects (like the round square). He distinguished between Sein (existence), Bestand (subsistence), and Aussersein (being-outside). Meinong's ontology influenced Russell (who critiqued it) and modern modal logic and fictionalism.",https://plato.stanford.edu/entries/meinong/,A,Meinong,4,History of Western Philosophy > 19th Century Philosophy > 19th Century Austrian Philosophy > Meinong,1.000
memory,"Philosophy of memory addresses the nature of remembering and its relation to personal identity and knowledge. Questions concern whether memory is direct acquaintance with the past or representational, and the distinction between episodic (personal events) and semantic (factual) memory. Debates involve constructive memory and memory traces (engrams).",https://plato.stanford.edu/entries/memory/,A,Memory,3,Philosophy of Mind > Mental States and Processes > Memory,1.000
mereology,"Formal theory of parts and wholes. Axioms define parthood (reflexive, transitive, antisymmetric). Core questions: Under what conditions do parts compose a whole (Special Composition Question)? Principles like Unrestricted Composition and Composition as Identity divide philosophers. Applications extend to metaphysics and logic.",https://plato.stanford.edu/entries/mereology/,A,Mereology,3,Metaphysics > Objects > Mereology,1.000
merleau-ponty,"Maurice Merleau-Ponty (1908â€“1961) was a French phenomenologist of the body. In Phenomenology of Perception, he argued the body-subject (corps propre) is our primary way of being in the world, preceding reflective consciousness. He emphasized ambiguity, perception's primacy, and the flesh (chair) of the world.",https://plato.stanford.edu/entries/merleau-ponty/,A,Merleau-Ponty,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Continental Philosophy > Merleau-Ponty,1.000
metaphor,"Philosophical theories of metaphor. Views: Cognitive theories (Black) argue metaphors convey cognitive content or restructure understanding. Non-cognitive theories (Davidson) argue metaphors have no special meaning but cause distinct effects. Questions concern truth-conditions, paraphrase, and metaphor's role in science and philosophy.",https://plato.stanford.edu/entries/metaphor/,A,Metaphor,3,Philosophy of Language > Pragmatics > Metaphor,1.000
metaphysics,"Study of the fundamental nature of reality, existence, and being. Topics include ontology (what exists), modality (possibility), time, space, causation, and identity. Metaphysics investigates the structure of reality beyond physics. Critiques (Kant, Logical Positivism) question its possibility.",https://plato.stanford.edu/entries/metaphysics/,A,Metaphysics,1,Metaphysics,1.000
mill,"John Stuart Mill (1806â€“1873) was a British empiricist and utilitarian. He developed the inductive methods of science (System of Logic) and defended liberty and individuality (On Liberty). Mill refined utilitarianism (qualitative pleasures) and supported women's rights (Subjection of Women), shaping liberal thought.",https://plato.stanford.edu/entries/mill/,A,Mill,4,History of Western Philosophy > 19th Century Philosophy > 19th Century British Philosophy > Mill,1.000
miracles,"Events not explicable by natural causes, attributed to divine intervention. Hume's argument against miracles claims testimony can never outweigh evidence for laws of nature. Debates concern definition (violation of law vs. sign), probability, and the possibility of identifying miracles historically.",https://plato.stanford.edu/entries/miracles/,A,Miracles,3,Philosophy of Religion > Religious Topics > Miracles,1.000
possible-worlds,"Foundational concept in modal logic and metaphysics for analyzing necessity and possibility. David Lewis's modal realism treats worlds as concrete; abstractionists (Stalnaker, Plantinga) treat them as abstract maximally consistent sets. Used to analyze propositions, counterfactuals, and properties.",https://plato.stanford.edu/entries/possible-worlds/,A,Possible Worlds,3,Metaphysics > Modality > Possible Worlds,1.000
molyneux-problem,Thought experiment proposed by Molyneux to Locke: Can a newly sighted blind person distinguish a sphere from a cube visually without touch? It tests the relation between senses and innate ideas. Locke and Berkeley said 'No'; Leibniz 'Yes' (with reasoning). Empirical results from restored sight remain ambiguous.,https://plato.stanford.edu/entries/molyneux-problem/,A,Molyneux's Problem,4,Philosophy of Mind > Perception > Sensory Modalities > Molyneux's Problem,1.000
monism,"Metaphysical view that reality is one. Existence monism: only one concrete object exists (the Whole/Universe). Priority monism (Schaffer): parts depend on the whole. Historical versions include Parmenides, Spinoza, and Hegel. Contrasts with pluralism (atomism).",https://plato.stanford.edu/entries/monism/,A,Monism,3,Metaphysics > Global Metaphysical Theories > Monism,1.000
neutral-monism,"View that ultimate reality is neither mental nor physical but a neutral 'stuff' (e.g., experience or events) constructing both. Russell and James advocated it to solve mind-body dualism. It relates to panpsychism and structural realism, attempting to unify psychology and physics.",https://plato.stanford.edu/entries/neutral-monism/,A,Neutral Monism,4,Philosophy of Mind > Philosophy of Consciousness > Theories of Consciousness > Neutral Monism,1.000
russellian-monism,"Theory that physical science describes only causal structure, leaving intrinsic nature unknown. This intrinsic nature (protophenomenal properties) grounds consciousness. Aims to solve the hard problem of consciousness while maintaining physical causal closure. Combines structuralism about physics with dualist intuitions.",https://plato.stanford.edu/entries/russellian-monism/,A,Russellian Monism,4,Philosophy of Mind > Philosophy of Consciousness > Theories of Consciousness > Russellian Monism,1.000
monotheism,"Belief in a single, universal, personal God. Topics include divine attributes (omnipotence, omniscience), the Trinity (in Christianity), and coherence of monotheism. Contrasts with polytheism, henotheism, and pantheism. Major religions (Judaism, Christianity, Islam) articulate distinct monotheistic theologies.",https://plato.stanford.edu/entries/monotheism/,A,Monotheism,4,Philosophy of Religion > Religious Topics > The Number of Gods > Monotheism,1.000
moore,"G.E. Moore (1873â€“1958) was a founder of analytic philosophy. He defended common sense against idealism (Proof of an External World, 'Here is one hand'). Moore analyzed concepts and advocated analysis as philosophy's method, emphasizing clarity and ordinary language.",https://plato.stanford.edu/entries/moore/,A,Moore,4,History of Western Philosophy > 20th Century Philosophy > 20th Century Analytic Philosophy > Moore,1.000
moral-dilemmas,"Situations involving conflicting moral obligations where agent seems condemned to do wrong (e.g., Sophie's Choice). Questions: Do genuine dilemmas exist, or are they apparent? If they exist, do they imply inconsistency in moral theory (deontic logic paradoxes) or unavoidable guilt?",https://plato.stanford.edu/entries/moral-dilemmas/,A,Moral Dilemmas,4,Value Theory > Normative Ethics > Moral Phenomena > Moral Dilemmas,1.000
moral-motivation,Relation between moral judgment and motivation. Internalism holds moral judgment inherently motivates; externalism holds motivation comes from contingent desires. Humeanism vs. rationalism creates debates about whether beliefs alone can motivate or if desire is always required.,https://plato.stanford.edu/entries/moral-motivation/,A,Moral Motivation,4,Value Theory > Meta-Ethics > Moral Reasoning and Motivation > Moral Motivation,1.000
moral-particularism,View that there are no defensible moral principles and moral thought does not require them. Moral judgment involves sensitivity to the particular case. Rejects the 'generalist' assumption that rationality requires rules. Critics argue it leads to special pleading or fails to explain moral learning.,https://plato.stanford.edu/entries/moral-particularism/,A,Moral Particularism,4,Value Theory > Meta-Ethics > Moral Principles > Moral Particularism,1.000
moral-phenomenology,"Study of the experiential character of moral life. What is it like to feel obligation, guilt, or moral perception? Questions concern whether moral experience seems objective (Mandelbaum) and the cognitive/conative nature of moral sentiments. Used to support moral realism or anti-realism.",https://plato.stanford.edu/entries/moral-phenomenology/,A,Moral Phenomenology,5,Value Theory > Normative Ethics > Moral Psychology > Moral States and Processes > Moral Phenomenology,1.000
moral-realism,"Metaethical view that there are objective moral facts independent of human opinion. Includes naturalism (facts are natural) and non-naturalism (facts are sui generis). Realists defend moral truth and knowledge against skepticism, relativism, and expressivism.",https://plato.stanford.edu/entries/moral-realism/,A,Moral Realism,4,Value Theory > Meta-Ethics > Moral Realism and Irrealism > Moral Realism,1.000
moral-relativism,"View that moral truth is relative to a standpoint (culture, individual). Descriptive relativism notes diversity; Metaethical relativism claims no absolute truth. Normative relativism argues we validly ought to tolerate others. Critiqued for inability to condemn atrocities or explain moral progress.",https://plato.stanford.edu/entries/moral-relativism/,A,Moral Relativism,5,Value Theory > Meta-Ethics > Moral Realism and Irrealism > Moral Irrealism > Moral Relativism,1.000
moral-responsibility,"Conditions for being praise- or blameworthy. Requires control (freedom) and knowledge. Strawsonian accounts focus on reactive attitudes (resentment). Debates link responsibility to free will, determinism, and the self. Distinction between accountability and attributability.",https://plato.stanford.edu/entries/moral-responsibility/,A,Moral Responsibility,3,Value Theory > Meta-Ethics > Moral Responsibility,1.000
alternative-possibilities,Principle of Alternative Possibilities (PAP): one is responsible only if one could have done otherwise. Frankfurt examples (counterfactual interveners) purport to show PAP is falseâ€”one can be responsible without alternatives. This separates responsibility from the ability to do otherwise.,https://plato.stanford.edu/entries/alternative-possibilities/,A,Alternative Possibilities,4,Philosophy of Action > Free Will > Topics in Free Will > Alternative Possibilities,1.000
moral-sentimentalism,"View that morality is grounded in emotion (sentiment) rather than pure reason. Hutcheson, Hume, and Smith developed sentimentalist ethics. Neo-sentimentalism links value to fitting emotional responses. Opposes rationalist deontology and intuitionism.",https://plato.stanford.edu/entries/moral-sentimentalism/,A,Moral Sentimentalism,5,Value Theory > Meta-Ethics > Moral Realism and Irrealism > Moral Irrealism > Moral Sentimentalism,1.000
multiculturalism,"Political philosophy regarding cultural diversity. Debates concern group rights, recognition, and the accommodation of minorities within liberal democracies. Kymlicka defends group rights for national minorities; Okin argues multiculturalism can be bad for women (clash with feminism).",https://plato.stanford.edu/entries/multiculturalism/,A,Multiculturalism,4,Value Theory > Social and Political Philosophy > Culture and Cultures > Multiculturalism,1.000
names,Semantics of proper names. Millianism: names directly refer without sense. Descriptivism (Frege/Russell): names are disguised descriptions. Teleological/Causal theories (Kripke): reference is fixed by baptism and causal chains. Problems include empty names and identity statements (Hesperus is Phosphorus).,https://plato.stanford.edu/entries/names/,A,Names,3,Philosophy of Language > Specific Expressions > Names,1.000
nationalism,"Political philosophy of nations and national identity. Civic nationalism defines nation by citizenship/laws; ethnic nationalism by ancestry/culture. Debates concern the right to self-determination, the moral value of national partiality, and compatibility with cosmopolitanism and liberalism.",https://plato.stanford.edu/entries/nationalism/,A,Nationalism,4,Value Theory > Social and Political Philosophy > States and Nations > Nationalism,1.000
naturalism,"View that strictures of science define reality and knowledge. Methodological naturalism: philosophy is continuous with science. Ontological naturalism: only natural entities exist (no ghosts or gods). Quine was a key proponent. Debates concern accommodating normativity, mathematics, and consciousness.",https://plato.stanford.edu/entries/naturalism/,A,Naturalism,3,Metaphilosophy > Metaphilosophical Views > Naturalism,1.000
natural-kinds,"Groupings that reflect the structure of reality (e.g., gold, tiger) rather than human convention. Essentialism holds natural kinds have mind-independent essences. Cluster theories (Boyd) emphasize homeostatic property clusters. Questions concern kinds in biology (species) and social sciences.",https://plato.stanford.edu/entries/natural-kinds/,A,Natural Kinds,3,Metaphysics > Ontology > Natural Kinds,1.000
natural-selection,"mechanism of evolution discovered by Darwin and Wallace. Heritable variation leads to differential reproductive success. Philosophers analyze concepts of fitness, adaptation, and selection pressure. Debates concern whether selection acts on genes, individuals, or groups.",https://plato.stanford.edu/entries/natural-selection/,A,Natural Selection,5,"Science, Logic, and Mathematics > Philosophy of Biology > Evolutionary Biology > Mechanisms of Evolution > Natural Selection",1.000
negation,"Logical and semantic nature of 'not'. Classical negation flips truth values. Intuitionist negation implies contradiction. Paraconsistent negation allows contradictions. Philosophical questions concern emptiness, negative facts (Russell), and whether negation is a speech act (denial) or operator.",https://plato.stanford.edu/entries/negation/,A,Negation,4,Philosophy of Language > Specific Expressions > Connectives > Negation,1.000
neuroethics,"Ethics of neuroscience and neuroscience of ethics. Applied issues: cognitive enhancement, brain reading, responsibility in organic brain disease. Theoretical issues: how neuroscience affects understanding of free will, self, and moral judgment (e.g., debunking moral intuitions).",https://plato.stanford.edu/entries/neuroethics/,A,Neuroethics,4,Value Theory > Applied Ethics > Biomedical Ethics > Neuroethics,1.000
newton,"Isaac Newton (1642â€“1727) transformed science with Principia (laws of motion, universal gravity) and Opticks. Philosophically, he defended absolute space and time, inductive method, and divine design. Newton's mechanics and methodology defined the modern scientific worldview, influencing Kant and Hume.",https://plato.stanford.edu/entries/newton/,A,Newton,4,History of Western Philosophy > 17th/18th Century Philosophy > 17th/18th Century British Philosophy > Newton,1.000
nietzsche,"Friedrich Nietzsche (1844â€“1900) was a German philosopher who critiqued traditional morality and Christianity ('God is dead'). He explored the Will to Power, the Ãœbermensch, and Eternal Recurrence. Nietzsche diagnosed Western culture as nihilistic and sought a revaluation of all values to affirm life and creativity.",https://plato.stanford.edu/entries/nietzsche/,A,Nietzsche,4,History of Western Philosophy > 19th Century Philosophy > 19th Century German Philosophy > Nietzsche,1.000
nonexistent-objects,"Ontology of things that do not exist (Sherlock Holmes, golden mountain). Meinongians argue they must 'subsist' to be spoken of. Russelians analyze them away as failed descriptions. Artifactualists view fictional characters as abstract artifacts created by authors. Issues include reference and truth in fiction.",https://plato.stanford.edu/entries/nonexistent-objects/,A,Nonexistent Objects,3,Metaphysics > Objects > Nonexistent Objects,1.000
ockham,"William of Ockham (c. 1287â€“1347) was a Franciscan nominalist. He denied universals existed outside the mind. 'Ockham's Razor' (parsimony) advises against multiplying entities unnecessarily. He defended divine voluntarism and separation of church and state, influencing the Reformation and modern empiricism.",https://plato.stanford.edu/entries/ockham/,A,Ockham,4,History of Western Philosophy > Medieval and Renaissance Philosophy > 13th/14th Century > Ockham,1.000
ontological-commitment,"Quine's criterion: 'To be is to be the value of a variable'. A theory is committed to entities it quantifies over (e.g., 'There are prime numbers' commits to numbers). Philosophers use paraphrase to avoid unwanted commitments (e.g., nominalists paraphrasing away mathematical objects).",https://plato.stanford.edu/entries/ontological-commitment/,A,Ontological Commitment,3,Metaphysics > Metaontology > Ontological Commitment,1.000
social-ontology,"Study of the nature of social reality. Do groups, institutions (money, marriage), and corporations exist? Searle argues social reality is constructed by collective intentionality and status functions ('X counts as Y in C'). Debates concern reductionism vs. emergence of social structures.",https://plato.stanford.edu/entries/social-ontology/,A,Social Ontology,4,Value Theory > Social and Political Philosophy > Social Philosophy > Social Ontology,1.000
original-position,"Thought experiment in Rawls's A Theory of Justice. Parties choose principles of justice behind a 'Veil of Ignorance' (not knowing their class, talent, or conception of good). This ensures impartiality. Rawls argues they would choose the Liberty Principle and Difference Principle (maximin).",https://plato.stanford.edu/entries/original-position/,A,The Original Position,6,Value Theory > Social and Political Philosophy > Justice > Distributive Justice > Rawls on Distributive Justice > The Original Position,1.000
property,Political philosophy of property rights. Locke: labor theory of acquisition (mixing labor). Hume/Kant: convention/occupancy. Libertarians view property as a natural right; Marxists as exploitative social relation. Debates concern intellectual property and redistribution.,https://plato.stanford.edu/entries/property/,A,Property,4,Value Theory > Social and Political Philosophy > Social and Political Philosophy Miscellaneous > Property,1.000
pacifism,Moral opposition to war and violence. Absolute pacifism: all violence is wrong. Contingent pacifism: modern war is always wrong (due to scale). Justifications include sanctity of life (deontological) or the utility of non-violent resistance (pragmatic). Contrasts with Just War Theory.,https://plato.stanford.edu/entries/pacifism/,A,Pacifism,5,Value Theory > Social and Political Philosophy > War and Violence > War > Pacifism,1.000
pain,"Philosophy of pain. Is it a sensation, perception, or emotion? Ascriptivism vs. descriptivism. Issues: pain asemia (pain without unpleasantness), animal pain, and the paradox of masochism. Subjectivity of pain challenges physicalist reduction (Hard Problem).",https://plato.stanford.edu/entries/pain/,A,Pain,3,Philosophy of Mind > Mental States and Processes > Pain,1.000
panentheism,"View that the world is 'in' God, but God exceeds the world. 'Everything is in God, God is in everything'. Distinguishes from pantheism (God = World) and classical theism (God is separate). Found in Hegel, Process Theology (Whitehead), and mystical traditions.",https://plato.stanford.edu/entries/panentheism/,A,Panentheism,4,Philosophy of Religion > Religious Topics > The Number of Gods > Panentheism,1.000
panpsychism,"View that mind or consciousness is a fundamental feature of reality, present even in basic particles. Revived (Strawson, Chalmers) to solve the Hard Problem: if physics describes only structure, intrinsic nature must be mental. Faces the Combination Problem: how do micro-minds form macro-minds?",https://plato.stanford.edu/entries/panpsychism/,A,Panpsychism,4,Philosophy of Mind > Philosophy of Consciousness > Theories of Consciousness > Panpsychism,1.000
pantheism,"View that God and the Universe are identical. 'Deus sive Natura' (Spinoza). Rejects a personal, transcendent creator. Associated with Stoicism, Bruno, and Spinoza. Debates concern whether it is distinct from atheism ('polite atheism', Schopenhauer) or a deep religious insight.",https://plato.stanford.edu/entries/pantheism/,A,Pantheism,4,Philosophy of Religion > Religious Topics > The Number of Gods > Pantheism,1.000
parenthood,"Ethics of procreation and child-rearing. Rights to reproduce vs. rights of the child. Licensing parents? Obligations of parents (biological vs. adoptive). Debates concern genetic enhancement, surrogacy, and the best interests of the child standard.",https://plato.stanford.edu/entries/parenthood/,A,Parenthood,5,Value Theory > Applied Ethics > Biomedical Ethics > Reproductive Ethics > Parenthood,1.000
