1 Area,2 Subfield,3 Topic Group,4 Topic,5 Subtopic,5.1 SubSubTopic,6 Description GPT5,6.1 Description Gemini
,,,,Epistemic Injustice *,,,
,,,,Global Justice *,,,
,,,,Health Care Justice *,,,
,,,,International Justice *,,,
,,,Justice Misc,,,,
,,Philosophy of Social Science *,,,,,
,,Political Theory,,,,,
,,Political Views,,,,,
,,,Anarchism,,,,
,,,,Philosophical Anarchism,,,
,,,,Left-Anarchism,,,
,,,,Anarcho-Capitalism,,,
,,,Communitarianism,,,,
,,,Political Conservatism,,,,
,,,Political Constructivism,,,"A method that justifies principles of justice and legitimacy as what free and equal citizens would agree to under fair, idealized constraints (often modeled by Rawls’s original position), rather than as political truths discovered as stance-independent facts.","Stance-independent facts: facts that hold regardless of anyone’s attitudes, endorsements, values, or deliberative standpoint—true even if no one believed or accepted them. “Stance-dependent” (or constructivist) claims make correctness depend on some standpoint: what agents would endorse under specified rational/fair conditions."
,,,Liberalism,,,,
,,,,Liberalism and Liberty,,,
,,,,Classical Liberalism,,,
,,,,New Liberalism,,,
,,,,Political Liberalism,,,
,,,,Liberalism and Value,,,
,,,,The Scope of Liberalism,,,
,,,Perfectionism,,,,
,,,Political Libertarianism,,,,
,,,Republicanism,,,,
,,,Socialism and Marxism,,,,
,,Rights,,,,,
,,,Bodily Rights,,,,
,,,,Reproductive Rights,,,
,,,,Rights Against Slavery,,,
,,,,Rights Against Violence,,,
,,,,Right to Life,,,
,,,,Sexual Rights,,,
,,,Civil and Political Rights,,,,
,,,,Freedom of Speech *,,,
,,,,Freedom of Thought *,,,
,,,,Freedom of Assembly *,,,
,,,,Freedom of Association *,,,
,,,,Freedom of Movement *,,,
,,,,Freedom of Contract,,,
,,,,Right to Political Participation,,,
,,,,Constitutional Rights,,,
,,,,Race and Civil Rights *,,,
,,,The Concept of Rights,,,,
,,,,The Analysis of Rights,,,
,,,,Rights and Duties,,,
,,,Foundations of Rights,,,,
,,,,Contractarian And Consent Theories,,,
,,,,Will Versus Interest Theories,,,
,,,,Consequentialism and Rights,,,
,,,Group Rights,,,,
,,,,Children's Rights *,,,
,,,,Disability Rights,,,
,,,,Ethnic Rights,,,
,,,,Gay Rights *,,,
,,,,Minority Rights *,,,
,,,,Parental Rights *,,,
,,,,Transgender Rights *,,,
,,,,Women's Rights,,,
,,,Human Rights,,,,
,,,,Human Rights Abuses,,,
,,,,Human Rights Law,,,
,,,,Human Rights Treaties,,,
,,,,Human Rights and Democracy,,,
,,,,Human Rights and Global Justice,,,
,,,,Human Rights and International Law,,,
,,,,Justifications of Human Rights,,,
,,,,The Concept of Human Rights,,,
,,,,Genocide *,,,
,,,Legal Rights,,,,
,,,Miscellaneous Rights,,,,
,,,,Animal Rights *,,,
,,,,Corporate Rights,,,
,,,,Environmental Rights,,,
,,,,Natural Rights,,,
,,,,Labor Rights,,,
,,,,Health Care Rights *,,,
,,,,Immigration Rights,,,
,,,,Privacy Rights,,,
,,,,Rights Against Discrimination,,,
,,,,Rights of Future Generations,,,
,,,,Rights to Reparations,,,
,,,,Rights in War,,,
,,,,Right to Self-Defense,,,
,,,Property Rights,,,,
,,,,Original Appropriation,,,
,,,,Externalities,,,
,,,,Self-Ownership,,,
,,,,Intellectual Property Rights,,,
,,,Rights and Values,,,,
,,,,Conflicts Among Rights,,,
,,,,Criticisms of Rights,,,
,,,,Rights and Equality,,,
,,,,Rights and Freedom,,,
,,,,Rights in Applied Ethics *,,,
,,,,Rights and Utility,,,
,,,,Rights and Justice,,,
,,,,Rights and Democracy,,,
,,,,Rights and Personhood,,,
,,,,Rights and the Rule of Law,,,
,,,History: Rights,,,,
,,,,Locke: Rights *,,,
,,,,Spinoza: Rights *,,,
,,,Rights and Poverty,,,,
,,,Rights and Religion,,,,
,,,Rights and Culture,,,,
,,States and Nations,,,,,
,,,Political Authority *,,,,
,,,Citizenship,,,,
,,,Civil Disobedience,,,,
,,,Civil War *,,,,
,,,Immigration,,,,
,,,Intervention *,,,,
,,,Nationalism,,,,
,,,Patriotism,,,,
,,,Political Power,,,,
,,,Revolution,,,,
,,,Secession,,,,
,,,Sovereignty,,,,
,,,Statehood,,,,
,,War and Violence,,,,,
,,,Violence,,,,
,,,,Genocide,,,
,,,,Gun Control,,,
,,,,Murder,,,
,,,,Rape,,,
,,,,Terrorism,,,
,,,,Torture,,,
,,,,Violence and Sport *,,,
,,,War,,,,
,,,,Autonomous Weapons *,,,
,,,,Civil War,,,
,,,,Conduct of War,,,
,,,,Deterrence,,,
,,,,Ethics and Justification of War,,,
,,,,Just War Theory,,,
,,,,Nature of War,,,
,,,,Nuclear War,,,
,,,,Pacifism,,,
,,,,Purpose of War,,,
,,,,Rights in War *,,,
,,,,War Crimes,,,
,,,Peace and Nonviolence,,,,
,,,,Pacifism *,,,
,,,,Peace,,,
,,,,Civil Disobedience *,,,
,,,,Nonviolence,,,
,,,,Conflict Resolution,,,
,,History of Political Philosophy,,,,,
,,,Ancient Greek Political Philosophy *,,,,
,,,Indian Political Philosophy *,,,,
,,,17th/18th Century Political Philosophy *,,,,
,,,19th Century Political Philosophy *,,,,
,,Social Philosophy,,,,,
,,,Social Epistemology *,,,,
,,,Social Ethics *,,,,
,,,Social Ontology,,,,
,,,,Approaches to Social Ontology,,,
,,,,,Grounding and Anchoring in Social Ontology,,
,,,,,Looping Effects in Social Ontology,,
,,,,,Conferralism in Social Ontology,,
,,,,,Constitutive Rules in Social Ontology,,
,,,,,Constitutive Construction in Social Ontology,,
,,,,,Social Construction,,
,,,,Ontology of Social Domains,,,
,,,,,Institutions *,,
,,,,,Social Groups *,,
,,,,,Social Practices *,,
,,,,,Food Ontology *,,
,,,,,Ontology of Finance *,,
,,,,,The Concept of Disease *,,
,,,,,Conceptions of Race *,,
,,,,,Conceptions of Gender *,,
,,,,,The Nature of Law and Legal Systems *,,
,,,Social Phenomena,,,,
,,,,Finance,,,
,,,,,Microfinance *,,
,,,,,Money,,
,,,,,Financial Ethics *,,
,,,,,Ontology of Finance,,
,,,,Games,,,
,,,,Institutions,,"Analysis of entities partly constituted by rules, statuses, and collective acceptance (e.g., marriage, corporations, currencies), including constitutive vs regulative rules and social kinds.","The philosophical investigation into the nature of social institutions like marriage, government, and property, exploring how they are created and sustained by collective agreement and practices."
,,,,Media,,,
,,,,,Journalism,,
,,,,,Media Ethics *,,
,,,,,Film Media *,,
,,,,,Social Media,,
,,,,,Media Misc,,
,,,,,Fake News,,
,,,,Philosophy of Food and Drink *,,,
,,,,Philosophy of Sexuality *,,,
,,,,Philosophy of Sport,,,
,,,,,The Nature of Sport,,
,,,,,Broad Internalism about Sport,,
,,,,,Conventionalism about Sport,,
,,,,,Formalism about Sport,,
,,,,,The Nature of Sport Misc,,
,,,,,Sports Ethics,,
,,,,,Bioethics and Sport,,
,,,,,Cheating in Sport,,
,,,,,Competition in Sport,,
,,,,,Embodiment and Sport,,
,,,,,Enhancement in Sport,,
,,,,,Race and Sport,,
,,,,,Sex and Gender in Sport,,
,,,,,Sports Governance,,
,,,,,Sporting Virtues,,
,,,,,Violence and Sport,,
,,,,,Topics in the Philosophy of Sport,,
,,,,,Aesthetics of Sport,,
,,,,,Disability and Sport,,
,,,,,eSports,,
,,,,,Olympism,,
,,,,,Sport and Emotion,,
,,,,,Sports Fans and Spectators,,
,,,,Privacy,,,
,,,,,Privacy Rights *,,
,,,,,Conceptions of Privacy,,
,,,,,Data Privacy *,,
,,,,Social Groups,,,
,,,,Social Practices,,,
,,,Social Relationships,,,,
,,,,Family Ethics *,,,
,,,,Friendship *,,,
,,,,Philosophy of Sexuality *,,,
,,,,Philosophy of Love *,,,
,,,,Relationships and Marriage *,,,
,,,Collective Mentality *,,,,
,,,Culture and Cultures *,,,,
,,,Philosophy of Gender Race and Sexuality *,,,,
,,,Philosophy of Social Science *,,,,
,,Social and Political Philosophy Miscellaneous,,,,,
,,,Disability *,,,,
,,,Exploitation,,,,
,,,Philosophy of Political Science *,,,,
,,,Political Concepts,,,,
,,,Political Ethics *,,,,
,,,Political Feasibility,,,,
,,,Political Obligation *,,,,
,,,Political Realism and Utopianism,,,,
,,,The Political Role of Philosophy,,,,
,,,Property,,,,
,,,Markets *,,,,
,,,Methods in Political Philosophy,,,,
,,,Political Epistemology,,,,
,,,Social and Political Philosophy General Works,,,,
"Science, Logic, and Mathematics",,,,,,"The systematic study of how formal structures, scientific explanation, and mathematical abstraction organize inquiry and yield knowledge. It examines systems of inference, explanation, and representation, clarifying how formal methods (eg, logic and mathematics) and scientific practice contribute to our understanding of reality, with attention to issues of methodology, idealization, and the ways abstract frameworks structure reasoning across disciplines.","The area of philosophy that examines the foundations, methods, and implications of science, logic, and mathematics. It includes the philosophy of science (examining science in general and specific sciences), the philosophy of logic (examining the nature of logic itself), and the philosophy of mathematics."
,Logic and Philosophy of Logic,,,,,"Examination of validity, consequence, and the identity of logical constants, relating syntax, semantics, and proof to norms of reasoning.","The philosophical study of the nature and scope of logic. It investigates the fundamental concepts of logic, such as truth, validity, logical consequence, and meaning, and explores the relationship between logic and reality."
,,Logics,,,,"Catalogue of reasoning systems with distinct inference rules and semantics, comparing what each counts as a valid step from premises to conclusion.",The study of different formal systems of reasoning. Each logic provides a specific set of rules and a formal language for constructing valid arguments.
,,,Classical Logic,,,"Benchmark framework endorsing bivalence, excluded middle, and explosion, grounding standard truth-functional and quantificational inference.","The standard, traditional form of logic, based on a set of core assumptions including the principle of bivalence (every proposition is either true or false, but not both) and the law of non-contradiction."
,,,,Aristotelian Logic,,"Term logic of categorical propositions and syllogisms, foundational for historical classification and reasoning about kinds and inclusion.","The traditional system of logic, developed by Aristotle, that deals with the relations between categorical propositions and syllogistic reasoning. It focuses on terms like 'all', 'some', and 'no'."
,,,,Propositional Logic,,"Calculus of truth-functions over propositions, where validity depends solely on connective structure (¬, ∧, ∨, →).","The branch of logic that studies the ways of joining or modifying entire propositions to form more complex propositions. It focuses on logical connectives like 'and' (conjunction), 'or' (disjunction), 'not' (negation), and 'if...then' (implication)."
,,,,Predicate Logic,,"Extension with quantifiers (∀, ∃) and variables to represent relations and predication, forming the lingua franca of modern mathematics.","The branch of logic that extends propositional logic by analyzing the internal structure of propositions. It introduces quantifiers ('all', 'some') and variables to represent objects and their properties."
,,,Deontic Logic,,,"Modalities of obligation, permission, and forbidden, analyzing normative conflict, contrary-to-duty cases, and deontic paradoxes.","The field of logic that investigates the concepts of obligation, permission, and prohibition. It provides a formal language for reasoning about what is morally or legally required, permitted, or forbidden."
,,,Epistemic Logics,,,"Modal logics of knowledge (K) and belief (B), modeling information, common knowledge, and principles of introspection.",The branch of logic used to model and reason about knowledge and belief.
,,,,Doxastic and Epistemic Logic,,"Refinement that separates belief from knowledge, tracking justification, evidence change, and doxastic dynamics over time.",A type of epistemic logic specifically concerned with reasoning about belief (doxa). It explores the logical properties of belief and its relationship to knowledge.
,,,Inductive Logic,,,"Formalisms for ampliative support where premises raise probability of conclusions (e.g., Bayesian confirmation, inductive strength).","The study of the methods of reasoning where the premises of an argument support a conclusion but do not guarantee it. It is the logic of probability and evidence, rather than certainty."
,,,Nonmonotonic Logic,,,Frameworks for defeasible reasoning that allow retraction of conclusions when new defeaters arise; capture defaults and exceptions.,"A type of logic in which the addition of new information can cause a previously valid conclusion to be retracted. It is designed to model defeasible reasoning or ""common-sense"" inference."
,,,Higher-Order Logics,,,"Systems with quantification over properties/relations, trading expressive power for limitations like failure of full completeness.","Logics that extend first-order logic by allowing quantification over properties and relations, not just individual objects."
,,,,Second-Order Logic,,"Variant where quantifying over sets/properties yields categorical theories (e.g., Peano) but admits no complete axiomatization.","The most common type of higher-order logic, which allows for quantification over sets or properties of individuals."
,,,Modal and Intensional Logic,,,"Family treating necessity/possibility and other intensional contexts (attitudes, conditionals), sensitive to context and content.",A branch of logic that deals with the concepts of possibility and necessity. It introduces modal operators such as 'it is possible that' and 'it is necessary that'.
,,,,Intensional Modal Logic,,"Fusion handling intensional operators within modal settings, explaining shifts in aboutness and cross-context inference.","A type of modal logic that deals with intensional concepts—those whose meaning depends on more than just their truth value, such as belief, desire, or meaning itself."
,,,,Modal Logic,,"Calculi for □/◇ with axioms (T, 4, 5) tied to accessibility relations among possible worlds; analyze scope of modal laws.","The formal study of reasoning about possibility and necessity. It provides a framework for analyzing arguments involving statements like ""It could have rained"" or ""Bachelors must be unmarried."""
,,,,Provability Logics,,"Links provability to modality (□ ≈ “provable”), validating Gödel–Löb and articulating reflection in arithmetic.","A type of modal logic specifically designed to capture the concept of provability within a formal mathematical theory, such as Peano arithmetic."
,,,,Quantified Modal Logic,,"Combines quantifiers with modality, raising domain questions and Barcan principles about existence across worlds.","A branch of modal logic that combines modal operators with the quantifiers of predicate logic, allowing for statements about what properties objects necessarily or possibly have."
,,,,Semantics for Modal Logic,,"Model-theoretic accounts (e.g., Kripke frames, neighborhood models) assigning truth via accessibility structure and evaluation points.","The study of the formal models used to interpret the language of modal logic, most famously possible worlds semantics, developed by Saul Kripke."
,,,Nonclassical Logics,,,"Umbrella for logics that deviate from classical laws to treat vagueness, inconsistency, resource sensitivity, or quantum phenomena.","A broad category of formal logics that differ in some fundamental way from classical logic, often by rejecting one of its core principles like bivalence or the law of excluded middle."
,,,,Fuzzy Logics,,"Logics with degrees of truth in [0,1]; validity preserves thresholds rather than bivalent truth.","Logics that allow for truth values to be a matter of degree, ranging between 0 (completely false) and 1 (completely true). They are used to handle vagueness and imprecise information."
,,,,Infinitary Logics,,Allow infinite conjunctions/disjunctions to study expressive power and large-structure reasoning beyond finitary limits.,Logics that allow for infinitely long sentences and proofs.
,,,,Intuitionistic Logic,,"Constructive logic rejecting global excluded middle; proofs must provide witnesses (BHK interpretation), linking logic to computability.","A logic developed as the foundation for constructive mathematics. It rejects the law of the excluded middle (P or not-P) and proofs by contradiction, requiring that a proof of existence must show how to construct the object in question."
,,,,Many-Valued Logics,,Systems with >2 truth-values to model indeterminacy or graded truth/falsity.,"Logics that reject the principle of bivalence and allow for more than two truth values, such as 'true', 'false', and 'undetermined'."
,,,,Paraconsistent Logics,,"Non-explosive logics tolerating inconsistency without triviality, enabling controlled reasoning in inconsistent databases or theories.","Logics that reject the principle of explosion, which states that from a contradiction, anything follows. In paraconsistent logics, a contradiction does not entail the truth of every proposition."
,,,,Quantum Logic,,"Logical structures reflecting quantum phenomena (e.g., non-distributive lattices), revising classical algebra of propositions.","A logical system developed to reason about the propositions of quantum mechanics, which famously violate some principles of classical logic, such as the distributive law."
,,,,Relevance Logics,,"Require relevance between premises and conclusion, blocking valid-but-irrelevant classical entailments.","Logics that impose a requirement of relevance between the premises and conclusion of an argument. For a conclusion to follow, the premises must be genuinely relevant to it."
,,,,Substructural Logics,,"Families that vary structural rules (e.g., contraction, weakening), tracking resources as in linear and affine logic.","Logics that are weaker than classical logic because they restrict or reject certain structural rules, such as the rule of weakening or contraction."
,,,Temporal Logic,,,"Modalities indexed to time (G, F, X, U) for reasoning about change on linear or branching temporal structures.","The branch of logic that deals with time and temporal information. It introduces operators for reasoning about past, present, and future events, such as 'always', 'sometimes', 'before', and 'after'."
,,,Logical Pluralism,,,"Thesis that more than one correct consequence relation exists, relative to languages, cases, or theoretical aims.","The meta-logical view that there is not just one single ""correct"" logic, but rather multiple, equally valid logical systems."
,,Logical Consequence and Entailment,,,,"Analysis of semantic consequence (⊨) vs derivability (⊢); touchstones include soundness, completeness, and compactness.",The fundamental relationship between the premises and the conclusion of a valid argument. The conclusion is a logical consequence of the premises if it is impossible for the premises to be true while the conclusion is false.
,,Logical Expressions,,,,"Inventory of logical vocabulary and its role in composition and inference, distinguishing logical from non-logical terms.",The basic building blocks of a formal logical language.
,,,Logical Constants,,,"Debates on what makes an expression logical (e.g., permutation invariance), shaping admissible constants.","The symbols in a logical system that have a fixed meaning, such as the symbols for 'and', 'or', 'not', and the quantifiers."
,,,Logical Connectives,,,"Operators structuring truth-functional form (¬, ∧, ∨, →, ↔) and their introduction/elimination rules.","The symbols used to connect propositions or predicates in a logical language, such as ∧ (and), ∨ (or), and → (if...then)."
,,,Variables,,,"Treatment of free vs bound variables, binding discipline, and capture-avoiding substitution in formal derivations.",The symbols in a logical system that stand for unspecified objects or properties.
,,Logical Paradoxes,,,,"Family of self-referential and semantic antinomies driving revisions to truth, reference, or inference principles.",Puzzles or apparent contradictions that arise from seemingly valid reasoning applied to seemingly true premises. They often reveal hidden assumptions or problems in our logical or linguistic frameworks.
,,,Liar Paradox,,,"The sentence “This sentence is false” generates inconsistency under classical truth, motivating hierarchies, fixed points, or nonclassical responses.","The paradox arising from the self-referential sentence, ""This statement is false."" If it is true, then it is false, and if it is false, then it is true."
,,Logical Semantics and Logical Truth,,,,"Account of logical truth (true in all interpretations) and validity, often via Tarskian and model-theoretic semantics.","The study of the interpretation of formal languages and the nature of logical truth. Logical truth is a statement that is true in virtue of its logical structure alone, regardless of the meaning of its non-logical terms."
,,Model Theory and Proof Theory,,,,"Bridge between semantics and syntax: completeness, Löwenheim–Skolem, compactness, cut-elimination, and normalization results.",Two major branches of mathematical logic. Proof theory studies the structure of formal proofs as mathematical objects. Model theory studies the relationship between formal theories and their mathematical interpretations or models.
,,Dialetheism,,,,"Metaphysical stance that some contradictions are true (gluts), paired with paraconsistent consequence to avoid triviality.","The view that some contradictions are true. A dialetheist accepts that a statement A and its negation not-A can both be true, in violation of the law of non-contradiction."
,,Epistemology of Logic,,,,"How we justify logical laws—by practice, cognitive seemings, or theory choice—and whether logic is revisable (anti-exceptionalism).",The study of how we can have knowledge of logical truths and justification for our beliefs about logical laws.
,,Informal Logic,,,,"Study of natural-language argument, fallacies, and dialectical norms, emphasizing reasons in context over symbolic derivations.","The study of reasoning as it occurs in natural language and everyday contexts. It focuses on the analysis of arguments, fallacies, and rhetorical persuasion outside of formal logical systems."
,,Logical Pluralism,,,,Philosophical position defending multiple legitimate consequence relations on general normative grounds (distinct from the logics catalogue).,"The meta-logical view that there is not just one single ""correct"" logic, but rather multiple, equally valid logical systems."
,,Logic in Philosophy,,,,"Applications of logic to philosophical problems—formalizing arguments, analyzing modality, decision, and causal reasoning.",The application of the methods and concepts of formal logic to analyze and clarify philosophical arguments and concepts.
,Philosophy of Biology,,,,,"Philosophy of biological concepts and explanation—function, fitness, species—across evolution, development, and ecology.","The branch of philosophy of science that deals with the conceptual, theoretical, and methodological issues in the biological sciences."
,,Developmental Biology,,,,"Focus on how ontogeny builds form; links gene regulation, signals, and morphogenesis to evolutionary change.",The philosophical study of the processes of growth and development in organisms.
,,,Developmental Constraints,,,"Limits on variation due to canalization, trade-offs, or path-dependence, shaping evolvability.",The philosophical examination of the limitations or biases on the types of phenotypes that can be produced by a given developmental system.
,,,Developmental Modularity,,,"Organization into modules with partial independence, enabling variation and innovation under selection.","The idea that organisms are composed of distinct, semi-autonomous modules, and the philosophical implications of this view for evolution and development."
,,,Developmental Systems Theory,,,"View of distributed causation across genes–organisms–environments, opposing simple gene-centrism.","A theoretical framework that opposes a gene-centric view of evolution, emphasizing that development is the result of a complex system of interacting resources, including genes, cells, organisms, and the environment."
,,,Epigenetic Inheritance,,,"Transmission of heritable epigenetic marks (e.g., methylation), complicating DNA-only inheritance.",The study of heritable changes in gene function that do not involve changes in the DNA sequence. This challenges traditional views of inheritance and evolution.
,,,Evolutionary Developmental Biology,,,"“Evo-devo” explains novelty and constraint via developmental mechanisms (e.g., GRNs, heterochrony).",The interdisciplinary field that combines evolutionary biology with developmental biology to understand how developmental processes evolve and how this affects the evolution of life.
,,,Innateness,,,Debates over nativism vs empiricism about traits’ source and developmental canalization.,The philosophical debate over the extent to which traits are determined by an organism's intrinsic genetic makeup (innate) versus its environment and experience.
,,,Nature and Nurture,,,Partitioning genetic and environmental influences; clarifies plasticity and norms of reaction.,"The long-standing debate concerning the relative importance of an individual's innate qualities (""nature"") versus personal experiences (""nurture"") in determining or causing individual differences in physical and behavioral traits."
,,,Process Structuralism,,,Emphasizes self-organization and dynamical processes generating biological form.,"A school of thought in biology that emphasizes the role of physical laws and self-organizing principles in shaping biological form, as opposed to a sole focus on gene-based natural selection."
,,Ecology and Conservation Biology,,,,"Study of systems, populations, and communities with conservation aims under uncertainty and irreversibility.",The philosophical study of ecology and the science of conserving biodiversity.
,,,Biodiversity,,,"Diversity at genetic, species, and ecosystem levels, valued for resilience, option value, and intrinsic worth.","The variety of life in the world or in a particular habitat or ecosystem. Philosophical questions concern its definition, measurement, and intrinsic value."
,,,Ecosystems,,,"Units of energy flow, nutrient cycling, and trophic interaction linking biotic and abiotic components.","The philosophical examination of the concept of an ecosystem, including whether ecosystems are real entities and how they should be defined."
,,,Population Ecology,,,"Dynamics of growth, regulation, stochasticity, and life-history strategies in populations.",The philosophical issues related to the study of the dynamics of species populations and how these populations interact with the environment.
,,,Prioritization,,,"Choosing what to protect under scarcity via triage, cost-effectiveness, and phylogenetic/functional metrics.","The philosophical and ethical problems involved in deciding which species, habitats, or conservation projects to prioritize when resources are scarce."
,,,Reduction in Ecology,,,Debate over reductionism vs emergence in explaining ecological patterns and laws.,The philosophical debate over whether ecological phenomena can be fully explained by or reduced to the principles of lower-level sciences like chemistry and physics.
,,Evolutionary Biology,,,,"Explains adaptation, diversity, and history of life; clarifies mechanisms and explanatory scope.","The philosophical study of the theory of evolution, particularly by natural selection."
,,,Anti-Darwinist Approaches,,,"Positions opposing or revising standard neo-Darwinian pictures, assessed for methodology and scientific standing.",Philosophical approaches that question or challenge core tenets of the modern Darwinian synthesis.
,,,,Evolution and Creationism,,Religious/cultural challenges to evolution that fail testability and consilience standards of science.,"The philosophical, religious, and scientific controversy over the origins of life and the universe, contrasting the scientific theory of evolution with creationist beliefs."
,,,,Intelligent Design,,Design-based critique invoking irreducible complexity; criticized for unfalsifiability and weak predictive power.,"The pseudoscientific claim that certain features of the universe and of living things are best explained by an intelligent cause, not an undirected process such as natural selection."
,,,,Punctuated Equilibrium,,"Model of long stasis punctuated by rapid speciation, explaining fossil record patterning.","A theory in evolutionary biology which proposes that most species will exhibit little net evolutionary change for most of their geological history, remaining in an extended state called stasis, which is punctuated by rare, rapid events of speciation."
,,,Levels and Units of Selection,,,"What selection targets—genes, organisms, groups, lineages—and how levels interact.",The debate over which level of biological organization is the primary unit upon which natural selection acts.
,,,,Group Selection,,Selection acting on group-level traits despite within-group conflict; evaluated via multilevel models.,"The theory that natural selection acts on the level of the group, rather than the individual organism or gene."
,,,,Gene Selection,,Replicator-focused account explaining adaptation through allele success and inclusive fitness.,"The view that natural selection acts at the level of the gene, and that the evolution of organisms is best understood as the result of competition among genes for replication."
,,,,The Selfish Gene,,"Emphasis on individual-level fitness and constraints (development, physiology) in selection explanations.","The concept, popularized by Richard Dawkins, that the gene is the primary unit of selection, and that organisms are merely ""vehicles"" for the propagation of the genes they carry."
,,,,Organismic Selection,,"Metaphor of genes as selection units, highlighting inclusive fitness and caution about agency talk.",The traditional Darwinian view that natural selection acts primarily on individual organisms.
,,,Evolution of Phenomena,,,"Programs explaining particular traits/behaviors by evolutionary functions, histories, and trade-offs.",The philosophical study of how evolution has shaped various biological and behavioral phenomena.
,,,,Evolution of Altruism,,"Accounts of altruism via kin selection, reciprocity, and multilevel selection, reconciling help with fitness.",The study of the evolutionary origins of cooperative and self-sacrificing behavior.
,,,,Evolution of Complexity,,"Growth of complexity through major transitions (genes→chromosomes→eusociality), modularity, and constraints.",The study of how complex biological structures and systems can arise through evolutionary processes.
,,,,Evolution of Culture,,Evolution of cultural variants via social learning; dual-inheritance models link culture to genes.,The study of how cultural change and transmission can be understood through an evolutionary framework.
,,,,Sociobiology,,"Biological bases of social behavior, integrating ethology, ecology, and evolutionary reasoning.",The field that seeks to explain social behavior in terms of evolution.
,,,Mechanisms of Evolution,,,"Integrative account of the causal processes that change allele and trait distributions across generations. It draws on population-genetic and quantitative-genetic formalisms and frames debates over levels of selection, replicator–interactor distinctions, and whether selection is a mechanistic cause or a statistical consequence of differential survival and reproduction.",The philosophical study of the various processes that drive evolutionary change.
,,,,Drift,,"Stochastic change in allele frequencies caused by random sampling in finite populations; strongest in small populations, leading to loss of heterozygosity, possible fixation or loss regardless of adaptive value. Produces founder and bottleneck effects, interacts with selection, mutation, and gene flow, and can fix neutral or mildly deleterious variants (fixation probability ≈ initial frequency; heterozygosity decays ~ (1 − 1/2N) per generation).",The change in the frequency of an existing gene variant (allele) in a population due to random sampling of organisms. It is a mechanism of evolution that is not based on selection.
,,,,Exaptation,,"Co-option of a trait that evolved for one function (or no original fxn.) to serve a new function, separating a trait’s origin from its current utility. Classic examples: feathers (thermoregulation/display → flight), middle-ear ossicles (from jaw bones), and lens crystallins (from metabolic enzymes). Contrasts with adaptation (selection for current use) and avoids the teleological implications of “preadaptation.”",The evolutionary process by which a trait that evolved for one function is co-opted for a new function.
,,,,Heritability,,The proportion of phenotypic variance due to genetic variance in a specified population and environment. Narrow-sense heritability (h²) = additive genetic variance/phenotypic variance and predicts response to selection via the breeder’s equation (R = h²S); broad-sense (H²) includes dominance and epistasis. High heritability does not imply genetic determinism; estimates are context-dependent and shaped by G×E and mating structure.,The proportion of variation in a trait within a population that is attributable to genetic variation among individuals.
,,,,Natural Selection,,"Consistent differences in survival and reproduction among heritable phenotypes that shift allele frequencies across generations. It requires variation, inheritance, and differential fitness. Common patterns include directional, stabilizing, disruptive, and frequency-dependent selection (including sexual selection). Selection acts on phenotypes, but is measured with selection coefficients and selection gradients. Outcomes are shaped by trade-offs, pleiotropy, and genetic correlations.","The primary mechanism of evolution, proposed by Charles Darwin, in which organisms with traits better suited to their environment tend to survive and reproduce more, leading to the proliferation of those traits."
,,,,Niche Construction,,"Organism-driven modification of biotic and abiotic environments that feeds back to alter selection pressures, sometimes via ecological inheritance (e.g., nests, soils, cultural practices). Paradigms include beaver dams, earthworm soil engineering, and human agriculture. Emphasizes reciprocal causation between organisms and environments; complements standard population-genetic models when feedbacks are explicitly represented.","The process whereby organisms, through their activities and choices, modify their own and each other's environments, which can in turn affect the selective pressures they are subject to."
,,,,Speciation,,"The evolutionary process by which populations become reproductively isolated and form distinct species. Routes include allopatric, peripatric, parapatric, and sympatric divergence; barriers are prezygotic (e.g., mate choice, timing) and postzygotic (e.g., hybrid sterility) often via Dobzhansky–Muller incompatibilities. Key dynamics involve reinforcement, ecological speciation under divergent selection, hybrid zones, and hybrid speciation (notably polyploidy in plants); rates range from gradual to punctuated change.",The evolutionary process by which new biological species arise.
,Philosophy of Cognitive Science,,,,,,
,Philosophy of Social Science,,,,,,
,Philosophy of Probability,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
History of Western Philosophy,,,,,,"Survey of Western philosophical traditions from antiquity to the present, tracing how problems, methods, and institutions evolve across periods, schools, and figures, and how they shape debates in metaphysics, epistemology, ethics, politics, and science.","The chronological study of philosophical thought and thinkers from ancient Greece to the present day. It traces the development of fundamental questions about reality, knowledge, value, and reason as they have been debated and transformed through successive historical periods."
,Ancient Greek Philosophy,,,,,"Origins of systematic inquiry in the Greek polis, developing natural philosophy, logic, and ethics through argument, dialogue, and cosmological speculation.","The foundational period of Western philosophy, originating in the Greek city-states around the 6th century BCE. It is characterized by the shift from mythological explanations (mythos) to rational inquiry (logos) into the nature of the cosmos and the good life."
,,Classical Greek Philosophy,,,,"The classical triad—Socrates, Plato, Aristotle—establishing enduring frameworks for virtue, knowledge, forms/substance, and syllogistic method.","The era of the most influential Greek thinkers, centered in Athens during the 5th and 4th centuries BCE."
