1 Area,2 Subfield,3 Topic Group,4 Topic,5 Subtopic,5.1 SubSubTopic,6 Description GPT5,6.1 Description Gemini,6.2 Description SEP,6.3 Description SEP,SEP Entry ID,SEP Title,SEP URL,SEP Match Method,SEP Fuzzy Score
,Meta-Ethics,,,,,"Inquiry into the nature/status of morality: whether there are moral facts/properties, what makes moral claims true (if anything), how moral language gets its meaning, what reasons are, and how judgment relates to motivation.",,,,,,,,
,,Moral Judgment,,,,"What kind of mental state ""wrong/ought"" involves: belief-like vs attitude-like (or hybrid), its action-guiding role, and how rational appraisal and affect contribute to moral verdicts.",,,,,,,,
,,,Amoralists,,,A purportedly coherent case of sincere moral verdicts with zero corresponding motivation; used to pressure-test claims that judgment necessarily motivates.,,,,,,,,
,,,Moral Cognitivism *,,,"Moral claims express propositions and are truth-apt (assessable as true/false); moral judgments are beliefs. Moral judgments are belief-like states: they aim to state facts (not merely vent feelings or issue commands) and are therefore true or false, depending on whether the claim is correct.",,,,,,,,
,,,Moral Emotivism *,,,"Moral utterances (""Wrong,"" ""ought,"" ""good"") are primarily expressions of affective attitutdes (e.g., approval/disapproval) and as attempts to influence action, rather than as descriptions of moral facts. Moral disagreement is often a practical ""clash of attitudes,"" and moral argument works largely by appealing to shared nonmoral facts or by pressuring for consistency among a person's attitudes and commitments.",,,,,,,,
,,,Moral Expressivism *,,,Moral sentences express practical attitudes/commitments (not descriptions); explains disagreement/inference without positing robust moral facts.,,,,,,,,
,,,Internalism and Externalism about Moral Judgment,,,Whether sincere moral judgment is necessarily linked to motivation (internalism) or only contingently linked (externalism).,,,,,,,,
,,,Moral Noncognitivism *,,,"Core moral utterances are not truth-apt beliefs; they function as expressing attitudes or prescriptions rather than fact-stating. Moral judgments are not beliefs (in a belief-as-representing-facts sense), they're aimed at guiding action (rather than stating facts).",,,,,,,,
,,Moral Naturalism and Non-Naturalism,,,,Framework for whether moral properties are natural (reducible to empirical facts) or nonnatural (irreducibly normative).,,,,,,,,
,,,Moral Naturalism,,,"Treats moral facts as part of nature-reducible to, or identical with, empirical properties.",,"While the term 'moral naturalism' has a number of different meanings, it is most frequently used to describe naturalistic versions of moral realism. Moral realists hold that there are objective, mind-independent facts and properties; moral naturalists hold that these objective, mind-independent moral facts are natural facts. 'Moral naturalism' can also be used as a label for views in normative ethics which hold that things are good if they are natural, or as a label for any view in metaethics which is consistent with a general metaphysical naturalism. But naturalistic moral realism is the subject of this entry. Moral naturalism appeals to many, since it combines the advantages of naturalism and realism, but others have argued that moral naturalism does inadequate justice to central dimensions of our practice with moral concepts. In this entry, we examine the most prominent arguments for and against moral naturalism, and profile three of the most popular and influential versions of moral naturalism.",,/entries/naturalism-moral/,Moral Naturalism,https://plato.stanford.edu/archives/win2021/entries/naturalism-moral/,title_exact_strict,
,,,Moral Nonnaturalism,,,Posits irreducibly normative moral properties not analyzable in purely natural/scientific terms.,,,,,,,,
,,,Moral Supervenience,,,Holds no change in moral status without some change in underlying nonmoral features.,,,,,,,,
,,,The Naturalistic Fallacy,,,"Targets defining ""good"" via any natural property; charged as a reductive mistake.",,,,,,,,
,,,The Open Question Argument,,,Argues any naturalistic reduction leaves it an open question whether it is good.,,,,,,,,
,,,The Is/Ought Gap,,,Claims purely descriptive premises cannot yield an ought without a normative bridge-principle.,,,,,,,,
,,Moral Realism and Irrealism,,,,Opposition over whether moral discourse tracks objective truth or depends on attitudes/standards/constructs.,,,,,,,,
,,,Moral Realism,,,Treats moral claims as truth-apt and some as true due to moral facts.,,"Taken at face value, the claim that Nigel has a moral obligation to keep his promise, like the claim that Nyx is a black cat, purports to report a fact and is true if things are as the claim purports. Moral realists are those who think that, in these respects, things should be taken at face value-moral claims do purport to report facts and are true if they get the facts right. Moreover, they hold, at least some moral claims actually are true. That much is the common and more or less defining ground of moral realism (although some accounts of moral realism see it as involving additional commitments, say to the independence of the moral facts from human thought and practice, or to those facts being objective in some specified way). As a result, those who reject moral realism are usefully divided into (i) those who think moral claims do not purport to report facts in light of which they are true or false (noncognitivists) and (ii) those who think that moral claims do carry this purport but deny that any moral claims are actually true (error theorists). It is worth noting that, while moral realists are united in their cognitivism and in their rejection of error theories, they disagree among themselves not only about which moral claims are actually true but about what it is about the world that makes those claims true. Moral realism is not a particular substantive moral view nor does it carry a distinctive metaphysical commitment over and above the commitment that comes with thinking moral claims can be true or false and some are true. Still, much of the debate about moral realism revolves around either what it takes for claims to be true or false at all (with some arguing that moral claims do not have what it takes) or what it would take specifically for moral claims to be true (with some arguing that moral claims would require something the world does not provide). The debate between moral realists and anti-realists assumes, though, that there is a shared object of inquiry-in this case, a range of claims all involved are willing to recognize as moral claims-about which two questions can be raised and answered: Do these claims purport to report facts in light of which they are true or false? Are some of them true? Moral realists answer 'yes' to both, non-cognitivists answer 'no' to the first (and, by default, 'no' to the second) while error theorists answer 'yes' to the first and 'no' to the second. (With the introduction of ""minimalism"" about truth and facts, things become a bit more complicated. See the section on semantics, below.) To note that some other, non-moral, claims do not (or do) purport to report facts or that none (or some) of them are true, is to change the subject. That said, it is strikingly hard to nail down with any accuracy just which claims count as moral and so are at issue in the debate. For the most part, those concerned with whether moral realism is true are forced to work back and forth between an intuitive grasp of which claims are at issue and an articulate but controversial account of what they have in common such that realism either is, or is not, defensible about them. By all accounts, moral realism can fairly claim to have common sense and initial appearances on its side. That advantage, however, might easily outweighed; there are a number of powerful arguments for holding that it is a mistake to think of moral claims as true.","Metaethical view that there are objective moral facts independent of human opinion. Includes naturalism (facts are natural) and non-naturalism (facts are sui generis). Realists defend moral truth and knowledge against skepticism, relativism, and expressivism.",/entries/moral-realism/,Moral Realism,https://plato.stanford.edu/archives/win2021/entries/moral-realism/,title_exact_strict,
,,,,Moral Cognitivism,,"Moral claims express propositions and are truth-apt (assessable as true/false); moral judgments are beliefs. Moral judgments are belief-like states: they aim to state facts (not merely vent feelings or issue commands) and are therefore true or false, depending on whether the claim is correct.",,,"The metaethical view that moral judgments express beliefs that can be true or false. Cognitivists hold that moral statements make truth-apt claims about moral facts or properties. This contrasts with non-cognitivism, which denies moral statements express beliefs or that they are truth-evaluable in any robust sense.",,,,,
,,,,Moral Constructivism *,,"Grounds moral truth in outcomes of rational procedures (agreement, choice, endorsement conditions).",,,,,,,,
,,,,Cornell Realism,,Naturalistic realism: moral properties = complex natural properties; knowable via empirical inquiry.,,,,,,,,
,,,,Moral Descriptivism,,Treats moral language primarily as descriptive rather than imperative or emotive.,,,,,,,,
,,,,Moral Functionalism,,"Identifies moral properties by their functional role in explanation, practice, and inference.",,,,,,,,
,,,,Moral Rationalism *,,"Holds moral requirements are (at least partly) knowable by reason, sometimes a priori.",,,,,,,,
,,,,Moral Nonnaturalism *,,"Posits irreducible moral properties and facts, distinct from natural properties.",,,,,,,,
,,,,Moral Sensibility Theories,,Makes moral properties response-dependent: tied to idealized sensibilities or fitting sentiments.,,,,,,,,
,,,Moral Irrealism,,,Denies robust objective moral facts or denies that moral discourse straightforwardly states them.,,,,,,,,
,,,,Moral Emotivism,,"Moral utterances (""Wrong,"" ""ought,"" ""good"") are primarily expressions of affective attitutdes (e.g., approval/disapproval) and as attempts to influence action, rather than as descriptions of moral facts. Moral disagreement is often a practical ""clash of attitudes,"" and moral argument works largely by appealing to shared nonmoral facts or by pressuring for consistency among a person's attitudes and commitments.",,,,,,,,
,,,,Moral Sentimentalism,,"Moral judgment is grounded in sentiment (e.g., approvals/disapprovals, and related emotions), which plays a constitutive role in making something count as morally right or wrong. Explains moral motivation and learning by appeal to affect (e.g., sympathy, empathy, resentment).",,"For moral sentimentalists, our emotions and desires play a leading role in the anatomy of morality. Some believe moral thoughts are fundamentally sentimental, others that moral facts are related to our sentimental responses, or that emotions are the primary source of moral knowledge. Some believe all these things. The two main attractions of sentimentalism are making sense of the practical aspects of morality, on the one hand, and finding a place for morality within a naturalistic worldview, on the other. The corresponding challenges are accounting for the apparent objectivity and normativity of morality. Recent psychological theories emphasizing the centrality of emotion in moral thinking have prompted renewed interest in sentimentalist ethics.","View that morality is grounded in emotion (sentiment) rather than pure reason. Hutcheson, Hume, and Smith developed sentimentalist ethics. Neo-sentimentalism links value to fitting emotional responses. Opposes rationalist deontology and intuitionism.",/entries/moral-sentimentalism/,Moral Sentimentalism,https://plato.stanford.edu/archives/win2021/entries/moral-sentimentalism/,title_exact_strict,
,,,,Moral Error Theories and Fictionalism,,Error theory: moral claims systematically false; fictionalism: moral talk as useful pretense.,Moral language is a failed attempt at fact.,,,,,,,
,,,,Moral Expressivism,,"Moral utterances express commitments/attitudes, with logic preserved via semantics. They are conventional devices for expressing pro and/or con attitudes towards their objects.",,,,,,,,
,,,,Moral Noncognitivism,,"Core moral utterances are not truth-apt beliefs; they function as expressing attitudes or prescriptions rather than fact-stating. Moral judgments are not beliefs (in a belief-as-representing-facts sense), they're aimed at guiding action (rather than stating facts).",,,,,,,,
,,,,Moral Prescriptivism,,"Treats moral ""ought"" as universal prescriptions guiding action, not reporting facts. Current Prescriptivists: 'they express prescriptions of a special universal sort. Thus, they are subject to various consistency constraints, so that accepting one moral judgment carries with it a requirement that one accept other judgments in some respects like it.'",,,,,,,,
,,,,Moral Projectivism,,"Explains moral ""properties"" as projected attitudes mistakenly taken as mind-independent features.",,,,,,,,
,,,,Moral Relativism,,"Makes moral truth/justification relative to a framework (culture, code, standpoint).",,"Moral relativism is an important topic in metaethics. It is also widely discussed outside philosophy (for example, by political and religious leaders), and it is controversial among philosophers and nonphilosophers alike. This is perhaps not surprising in view of recent evidence that people's intuitions about moral relativism vary widely. Though many philosophers are quite critical of moral relativism, there are several contemporary philosophers who defend forms of it. These include such prominent figures as Gilbert Harman, Jesse J. Prinz, J. David Velleman and David B. Wong. The term 'moral relativism' is understood in a variety of ways. Most often it is associated with an empirical thesis that there are deep and widespread moral disagreements and a metaethical thesis that the truth or justification of moral judgments is not absolute, but relative to the moral standard of some person or group of persons. Sometimes 'moral relativism' is connected with a normative position about how we ought to think about or act towards those with whom we morally disagree, most commonly that we should tolerate them.","View that moral truth is relative to a standpoint (culture, individual). Descriptive relativism notes diversity; Metaethical relativism claims no absolute truth. Normative relativism argues we validly ought to tolerate others. Critiqued for inability to condemn atrocities or explain moral progress.",/entries/moral-relativism/,Moral Relativism,https://plato.stanford.edu/archives/win2021/entries/moral-relativism/,title_exact_strict,
,,,,Moral Subjectivism,,Makes moral truth depend on individual attitudes/preferences (speaker- or agent-dependent).,,,,,,,,
,,,Moral Realism and Irrealism Miscellaneous,,,,,,,,,,,
,,,,Ideal Observer Theories,,"Moral truth depends on what an ideal observer would approve (fully informed, impartial, calm, and rational) so ""right"" tracks the best evaluative response rather than actual preferences.",,,,,,,,
,,,,Moral Constructivism,,"Moral rules are not ""found in nature"" as ready-made facts; moral truths are fixed by the outcome of an idealized practical decision procedure-what rational agents would endorse under fair, informed, and consistent conditions (not merely whatever anyone happens to prefer). This preserves a kind of objectivity by making moral correctness depend on standards of good deliberation rather than on people's current opinions.",,,,,,,,
,,,,Moral Disagreement *,,"Persistent (often apparently rational) conflict in moral judgment across persons/cultures; used to test whether morality is objective, relative, or epistemically knowable.",,,,,,,,
,,,,Moral Explanation,,"Whether (and how) moral facts/properties can explain anything-e.g., actions, reasons, social practices-versus being explanatorily idle.",,,,,,,,
,,,,Moral Objectivity,,The idea that moral claims can be true/false in a way not fixed by any one person's or group's attitudes-fallible yet not merely preference- or culture-bound.,,,,,,,,
,,,,Moral Progress *,,"Apparent historical movement toward better norms/practices; pressures accounts of what ""better"" means without begging for objective standards.",,,,,,,,
,,,,Moral Response-Dependence,,"Treats moral properties as fixed by the responses of suitably placed/idealized agents (e.g., what would merit disapproval under informed, impartial conditions), not by raw personal reactions.",,,,,,,,
,,,,Debunking Arguments about Morality,,"Genealogical/evolutionary/psychological arguments claiming that if moral beliefs are best explained by non-truth-tracking influences, then their justification (and sometimes truth) is undermined.",,,,,,,,
,,Moral Epistemology,,,,"How moral beliefs can be known/justified: sources of warrant (reason, perception, intuition, testimony), reliability of methods, and limits of moral knowledge.",,"How is moral knowledge possible? This question is central in moral epistemology and marks a cluster of problems. The most important are the following. Sociological: The best explanation of the depth of moral disagreements and the social diversity that they reflect is one of two things. (a) No moral facts exist to be known, since moral disagreements exemplify merely clashes in moral sensibility rather than differences about matters of fact. (b) Moral knowledge exists, but moral facts are relative to the social group in which moral sensibility is formed with the result that no moral truths are known to hold universally. Psychological: Moral judgments are intrinsically motivating. Judgments about matters of fact, on the other hand, are never motivating just in themselves. Since to constitute moral knowledge a moral judgment must be made about some moral fact, moral knowledge is not possible. Ontological: Moral knowledge is about moral reality. How is that reality constituted? Three general possibilities present themselves. (a) Moral reality might be theological in nature, pertaining to (say) the will of God. (b) It might be a non-natural realm that is neither theological nor natural, but sui generis. (c) It might be comprehensible as a part of the natural world studied by science. Each of these possibilities, however, is beset with difficulties, and no viable fourth alternative has been conceived. Evolutionary: Where do human morals come from? A familiar and widely accepted answer is that human morals are in essence, despite their modern variations, Darwinian adaptations. As such morals are about survival and reproduction and have nothing to do with moral truth. Moreover, while the intuitive, emotional basis of moral judgments was useful to our ancestors, this basis is out-dated and unreliable in modern industrial society and thus current moral thought in such society, which inevitably embeds this basis, is without rational foundation. Methodological: Traditionally philosophers have sought to explain the possibility of knowledge by appeal to at least some principles that can be grasped and defended a priori and thus independently of natural science. A new and revolutionary epistemology introduced by Quine seeks to explain the possibility of knowledge through science itself. ""Naturalized epistemology"" has been immensely popular since its inception in the 1960s, largely because it promises to make epistemology consistent with a scientific world-view. At the same time the new methodology appears to make it more difficult to explain the possibility of moral knowledge. Two allied methodologies that seek to find moral truth in a reflective equilibrium of judgments or in applications of rational choice theory are much less restrictive but open to the objection that they are morally conservative. A recent methodology allied to naturalized epistemology is pragmatic naturalism. Taking its inspiration from examples of transforming the moral status quo, it is less vulnerable to the charge of moral conservatism. However, by understanding moral knowledge as mainly a matter of knowing how to live well interdependently with others by resolving issues collectively as they arise, this methodology may not offer a conception of moral truth appropriate to genuine moral knowledge. Moral: Feminists among others are often critical of traditional epistemologies as well as the innovative recent methodologies on the moral ground that the standards found there are unjustly biased against women and other marginalized groups. For example, feminists often reject the standard of impartiality contained in these forms of epistemology because it renders invisible important knowledge possessed by women and thereby contributes to their oppression. If, for reasons to be given, the criticism has merit, then it presents an apparent paradox within feminist moral epistemology, since it appears to reject the ideal of impartiality on the ground that it is not itself impartial. The Marxist complaint that the standard of impartiality is unjustly biased against the working class because it renders invisible their exploitation gives rise to the same contradiction. Resolution of the paradox is important for both evaluating such criticisms and understanding in general how to evaluate moral criticisms of epistemic standards. Arguably, these issues, as central and broad as they are, do not cover all of moral epistemology. To keep the subject manageable, this entry is limited in the following five ways. First, the entry ignores global skepticism, which doubts the possibility of anyone's having any knowledge at all. Thus, it ignores the threat of an unstoppable regress in justifications and Cartesian evil demon scenarios. Nor does it take up the debates between foundationalists and coherentists about the structure of justification. These issues (with an exception to be noted) do not raise problems special to moral epistemology. But see the entry for Moral Skepticism. Second, in keeping with the last restriction, the entry takes for granted that our capacity to have other kinds of knowledge is not in question. Indeed, the six problems above arise in part because of the implications of having other kinds of knowledge. Third, the entry assumes that moral knowledge entails (roughly) justified true moral belief. This assumption commits me to the position that moral knowledge is incompatible with non-cognitivism (the view that moral claims lack cognitive value, such as truth-value). A non-cognitivist, however, may seek to explain how the attitudes or prescriptions expressed in moral claims are justified. (See Hare 1981, Campbell 1985, Gibbard 1990, and Blackburn 1998 for theories of moral justification compatible with non-cognitivism and the entry on moral skepticism for a discussion of moral justification in general.) Indeed, an expressivist may invoke a deflationary conception of truth to support the idea that we can speak of justified moral beliefs that are ""true"" - without implying that justified moral beliefs accurately represent moral reality. Moral justification is discussed below, however, only as it pertains to putatively reliable representations of moral reality. Fourth, many important epistemological issues arise in the context of considering specific normative theories or types of normative theory. (Can virtue ethics explain how we can know what course of action is morally acceptable for a situation demanding the exercise of conflicting virtues?) The focus in this entry is on issues that are special to moral epistemology but not tied to a particular type of normative theory. The feminist criticism cited, though it arises from specific normative concerns, is no exception, since it raises general worries about how moral knowledge is possible. Fifth, the discussion of the history of moral epistemology is limited to philosophers, such as Kant and Hume, who have had the most to say about these issues and whose responses have been most influential. Other historical positions and additional analysis of the possibility of a priori moral knowledge will be covered in other SEP entries. My plan is to examine in turn each of the six clusters of challenges to the possibility of moral knowledge in Sections 1-6 and then, in Sections 7-10, to reflect on the underlying assumption that moral knowledge consists in the justified true moral belief of a single individual.","How moral knowledge is possible and acquired. Questions concern whether moral truths are knowable, what justifies moral beliefs, whether moral knowledge requires perception or intuition, and moral testimony's reliability. Debates address moral realism versus anti-realism, a priori versus empirical moral knowledge, and foundationalism versus coherentism.",/entries/moral-epistemology/,Moral Epistemology,https://plato.stanford.edu/archives/win2021/entries/moral-epistemology/,title_exact_strict,
,,,Moral Coherentism,,,"Justification comes from a belief's fit within a mutually supporting moral outlook (principles, judgments, background theories), prioritizing systematic coherence over foundational ""given"" beliefs.",,,,,,,,
,,,Moral Intuitionism,,,"Some moral truths are self-evident or graspable by direct rational insight (""intuitions""), providing non-inferential warrant for at least some moral judgments.",,,,,,,,
,,,Moral Disagreement,,,"Persistent, apparently reasonable conflict in moral judgment; used to probe objectivity, relativism, and the reliability of moral methods.",,"Appeals to moral disagreement have figured in philosophical discussions since antiquity, especially regarding questions about the nature of morality. An example is provided by Sextus Empiricus, who in a famous passage concludes (in Richard Bett's translation) that ""there is nothing by nature good or bad"" from the observation that ""the same thing is thought bad by one person and good by another"" (Against the Ethicists, 14). It is often dubious to characterize the thoughts of ancient philosophers by using distinctions and terminologies that have emerged much later. Still, it is tempting to take Sextus to offer an argument against the metaethical position known as ""moral realism"" and its central thesis that there are moral truths which are objective in the sense that they are independent of human practices and thinking. Moral realism is the target also of many modern appeals to moral disagreement which are often made by philosophers who instead favor nihilist, relativist, constructivist, non-cognitivist or expressivist views. However, the phenomenon has been ascribed other dialectical roles as well. For example, it has also been invoked in support of realism. Metaethics is furthermore not the only domain in which moral disagreement has received attention. Another is political philosophy. An influential view which is known as ""public reason"" entails that a government's use of coercive power is legitimate only if it can be justified to the citizens on the basis of principles that all could reasonably accept. That view provides a different context in which facts about moral disagreement are relevant (see Quong 2018 for an overview and discussion). Nevertheless, this entry is exclusively devoted to its metaethical significance. Some of the topics metaethicists address concern the metaphysics and ontology of morality. Others concern its epistemology and its semantics (and metasemantics). Moral disagreement has been thought relevant to all those subfields, and the entry is organized in accordance with the divisions among them. However, one of the points the discussions below are meant to illustrate is that the topics are related and that the positions and arguments that have been put forward in one of the subfields might be relevant also to those in another.",,/entries/disagreement-moral/,Moral Disagreement,https://plato.stanford.edu/archives/win2021/entries/disagreement-moral/,title_exact_strict,
,,,Moral Justification,,,"What makes a moral belief warranted (or reasonable to hold): standards of evidence, inference, and epistemic norms for moral claims.",,,,,,,,
,,,Moral Progress *,,,Apparent movement toward better moral norms/practices over time; pressures accounts of improvement and the standards used to judge it.,,,,,,,,
,,,Moral Rationalism,,,"Moral requirements are knowable (at least partly) by reason-often via principles of practical rationality-rather than depending primarily on emotion, culture, or perception.","Moral truths (or at least moral requirements) are knowable through reason (e.g., practical rationality, consistency, or a priori principles) rather than primarily through emotion, perception, or social convention.",,,,,,,
,,,Moral Skepticism,,,"Doubts that we can have moral knowledge (or justified moral belief), often driven by disagreement, debunking explanations, or worries about moral evidence.",,"""Moral Skepticism"" names a diverse collection of views that deny or raise doubts about various roles of reason in morality. Different versions of moral skepticism deny or doubt moral knowledge, justified moral belief, moral truth, moral facts or properties, and reasons to be moral. Despite this diversity among the views that get labeled ""moral skepticism"", many people have very strong feelings about moral skepticism in general. One large group finds moral skepticism obvious, because they do not see how anyone could have real knowledge of the moral status of anything or how moral facts could fit into a physical world. Others see moral skepticism as so absurd that any moral theory can be refuted merely by showing that it leads to moral skepticism. Don't you know, they ask, that slavery is morally wrong? Or terrorism? Or child abuse? Skeptics who deny that we have reason to believe or obey these moral judgments are seen as misguided and dangerous. The stridency and ease of these charges suggests mutual misunderstanding, so we need to be more charitable and more precise.",,/entries/skepticism-moral/,Moral Skepticism,https://plato.stanford.edu/archives/win2021/entries/skepticism-moral/,title_exact_strict,
,,,Moral Uncertainty,,,Conditions of limited evidence and competing moral considerations where confidence should be tempered; focuses on how to act and believe under moral indeterminacy.,,,,,,,,
,,,Reflective Equilibrium,,,"Method of aligning principles and considered judgments by revising each until they cohere, aiming for a stable, well-supported moral view. Treats justification as the result of this mutual adjustment, not a one-way derivation.",,"Many of us, perhaps all of us, have examined our moral judgments about a particular issue by looking for their coherence with our beliefs about similar cases and our beliefs about a broader range of moral and factual issues. In this everyday practice, we have sought ""reflective equilibrium"" among these various beliefs as a way of clarifying for ourselves just what we ought to do. In addition, we may also have been persuading ourselves that our conclusions were justifiable and ultimately acceptable to us by seeking coherence among them. Even though it is part of our everyday practice, is this approach to deliberating about what is right and finding justification for our views defensible? Viewed most generally, a ""reflective equilibrium"" is the end-point of a deliberative process in which we reflect on and revise our beliefs about an area of inquiry, moral or non-moral. The inquiry might be as specific as the moral question, ""What is the right thing to do in this case?"" or the logical question, ""Is this the correct inference to make?"" Alternatively, the inquiry might be much more general, asking which theory or account of justice or right action we should accept, or which principles of inductive reasoning we should use. We can also refer to the process or method itself as the ""method of reflective equilibrium."" The method of reflective equilibrium can be carried out by individuals acting separately or together. In the latter case, the method is dialogical and agreement among participants may or may not be accompanied by a search for coherence. We shall be focused on the method when it seeks coherence among beliefs, for an avowal of agreement may well not include a real coherence of beliefs. In what follows, we first give an overview of the method of reflective equilibrium and comment briefly on its history. We then discuss in more detail the evolution of the method and its role in the work of John Rawls. Against that background, we then remark on some of the controversy surrounding the claim that coherence among our moral or our logical beliefs in reflective equilibrium counts as a justification for them, including the challenge to including moral intuitions or facts about the world in such a justification. Finally, we discuss some implications the method has for work in ethics.",Method of justification (Rawls/Goodman). We adjust our specific intuitions and general principles until they cohere. 'Wide' RE includes background theories. It serves as an alternative to foundationalism in ethics and logic.,/entries/reflective-equilibrium/,Reflective Equilibrium,https://plato.stanford.edu/archives/win2021/entries/reflective-equilibrium/,title_exact_strict,
,,Moral Language,,,,"How moral utterances work in speech and thought: whether they describe, evaluate, command, or express attitudes, and how they support disagreement and inference",,,,,,,,
,,,Moral Expressivism *,,,"Moral statements function primarily to express practical attitudes/commitments, while preserving logical features of moral discourse. They don't describe moral facts,",,,,,,,,
,,,Moral Prescriptivism *,,,"Moral ""ought"" operates like a universal prescription-a commitment to act similarly in relevantly similar cases-rather than a report of moral facts.",,,,,,,,
,,,Moral Semantics,,,"Study of meaning and truth-conditions (if any) for moral terms (""good,"" ""wrong,"" ""ought""), including reference, context-sensitivity, and the logic of moral language",,,,,,,,
,,Moral Normativity,,,,"Normativity concerns what it is for something to provide a reason or set a requirement-the ""binding"" or action-guiding force of ""ought,"" reasons, and obligations",,,,,,,,
,,,Ought Implies Can,,,"Claim that a person has an obligation only if they are able to do it; inability can defeat ""ought,"" or at least shift it to an ought given the feasible options.",,,,,,,,
,,,Moral Norms,,,"Socially supported standards of evaluation and guidance-rules/expectations that generate reasons, regulate behavior, and are backed by criticism, praise, and sanction",,,,,,,,
,,,Values and Norms *,,,"Relationship between values (what is worth pursuing/admiring) and norms (what is required/permitted/forbidden), including how one grounds or explains the other.",,,,,,,,
,,Moral Principles,,,,,,,,,,,,
,,,Moral Generalism,,,,,,,,,,,
,,,Categorical and Hypothetical Imperatives *,,,,,,,,,,,
,,,Moral Generalizations,,,,,,,,,,,
,,,Moral Particularism,,,,,"Moral Particularism, at its most trenchant, is the claim that there are no defensible moral principles, that moral thought does not consist in the application of moral principles to cases, and that the morally perfect person should not be conceived as the person of principle. There are more cautious versions, however. The strongest defensible version, perhaps, holds that though there may be some moral principles, still the rationality of moral thought and judgement in no way depends on a suitable provision of such things; and the perfectly moral judge would need far more than a grasp on an appropriate range of principles and the ability to apply them. Moral principles are at best crutches that a morally sensitive person would not require, and indeed the use of such crutches might even lead us into moral error. The particularist's opponent is the generalist. Ethical generalism is the view that the rationality of moral thought and judgement depends on a suitable provision of moral principles. This entry provides a high-level introduction. For a more detailed presentation, see the entry on the debate between moral particularism and moral generalism.",View that there are no defensible moral principles and moral thought does not require them. Moral judgment involves sensitivity to the particular case. Rejects the 'generalist' assumption that rationality requires rules. Critics argue it leads to special pleading or fails to explain moral learning.,/entries/moral-particularism/,Moral Particularism,https://plato.stanford.edu/archives/win2021/entries/moral-particularism/,title_exact_strict,
,,,Moral Universalizability,,,,,,,,,,,
,,Moral Reasoning and Motivation,,,,,,,,,,,,
,,,Internalism and Externalism about Moral Judgment *,,,,,,,,,,,
,,,Internalism and Externalism about Reasons *,,,,,,,,,,,
,,,Moral Judgment *,,,,,,,,,,,
,,,Moral Concepts,,,,,,,,,,,
,,,Moral Enhancement *,,,,,,,,,,,
,,,Moral Motivation,,,,,"In our everyday lives, we confront a host of moral issues. Once we have deliberated and formed judgments about what is right or wrong, good or bad, these judgments tend to have a marked hold on us. Although in the end, we do not always behave as we think we ought, our moral judgments typically motivate us, at least to some degree, to act in accordance with them. When philosophers talk about moral motivation, this is the basic phenomenon that they seek to understand. Moral motivation is an instance of a more general phenomenon-what we might call normative motivation-for our other normative judgments also typically have some motivating force. When we make the normative judgment that something is good for us, or that we have a reason to act in a particular way, or that a specific course of action is the rational course, we also tend to be moved. Many philosophers have regarded the motivating force of normative judgments as the key feature that marks them as normative, thereby distinguishing them from the many other judgments we make. In contrast to our normative judgments, our mathematical and empirical judgments, for example, seem to have no intrinsic connection to motivation and action. The belief that an antibiotic will cure a specific infection may move an individual to take the antibiotic, if she also believes that she has the infection, and if she either desires to be cured or judges that she ought to treat the infection for her own good. All on its own, however, an empirical belief like this one appears to carry with it no particular motivational impact; a person can judge that an antibiotic will most effectively cure a specific infection without being moved one way or another. Although motivating force may be a distinguishing feature of normative judgments, the phenomenon of normative motivation seems most significant in the case of narrowly moral judgments. Moral motivation has, in any case, received far greater attention than motivation in connection with other normative judgments. Morality is widely believed to conflict, frequently and sometimes severely, with what an agent most values or most prefers to do. Perhaps because of the apparent opposition between self-interest and morality, the fact of moral motivation has seemed especially puzzling. How is it that we are so reliably moved by our moral judgments? And what is the precise nature of the connection between moral judgment and motivation? Of course, the less puzzling and more mundane moral motivation comes to seem, the more puzzling failures of moral motivation become. If we are to explain moral motivation, we will need to understand not only how moral judgments so regularly succeed in motivating, but how they can fail to motivate, sometimes rather spectacularly. Not only do we witness motivational failure among the deranged, dejected, and confused, but also, it appears, among the fully sound and self-possessed. What are we to make of the ""amoralist""-the apparently rational, strong willed individual who seemingly makes moral judgments, while remaining utterly indifferent? In answering the foregoing questions, philosophers have been led to sharply differing views about moral motivation, and these views have sometimes been thought to have important implications for foundational issues in ethics. More precisely, differing views about moral motivation involve commitment to particular theses which have been thought to bear on questions about moral semantics and the nature of morality. Perhaps most famously, certain theses have been jointly deployed to support skeptical or anti-realist views in metaethics. This entry provides an overview of the main positions philosophers have taken in their efforts to understand and explain the phenomenon of moral motivation. It also briefly explains how key theses concerning moral motivation have come to inform and structure debates about moral semantics and the nature of morality.",Relation between moral judgment and motivation. Internalism holds moral judgment inherently motivates; externalism holds motivation comes from contingent desires. Humeanism vs. rationalism creates debates about whether beliefs alone can motivate or if desire is always required.,/entries/moral-motivation/,Moral Motivation,https://plato.stanford.edu/archives/win2021/entries/moral-motivation/,title_exact_strict,
,,,Moral Rationality,,,,,,,,,,,
,,,Moral Reasons,,,,,,,,,,,
